M_planet (M_Earth),M_planet (kg),Pressure (bar),Total Delta-V (km/s)
1.061503e+00,6.339293e+24,6.210169e+00,1.326561e+01
1.061503e+00,6.339293e+24,7.278954e+00,1.331730e+01
1.061503e+00,6.339293e+24,8.531679e+00,1.337727e+01
1.061503e+00,6.339293e+24,1.000000e+01,1.344677e+01
1.144501e+00,6.834959e+24,1.000000e-01,1.330399e+01
1.144501e+00,6.834959e+24,1.172102e-01,1.330482e+01
1.144501e+00,6.834959e+24,1.373824e-01,1.330579e+01
1.144501e+00,6.834959e+24,1.610262e-01,1.330692e+01
1.144501e+00,6.834959e+24,1.887392e-01,1.330825e+01
1.144501e+00,6.834959e+24,2.212216e-01,1.330981e+01
1.144501e+00,6.834959e+24,2.592944e-01,1.331163e+01
1.144501e+00,6.834959e+24,3.039195e-01,1.331376e+01
1.144501e+00,6.834959e+24,3.562248e-01,1.331626e+01
1.144501e+00,6.834959e+24,4.175319e-01,1.331918e+01
1.144501e+00,6.834959e+24,4.893901e-01,1.332260e+01
1.144501e+00,6.834959e+24,5.736153e-01,1.332660e+01
1.144501e+00,6.834959e+24,6.723358e-01,1.333128e+01
1.144501e+00,6.834959e+24,7.880463e-01,1.333674e+01
1.144501e+00,6.834959e+24,9.236709e-01,1.334312e+01
1.144501e+00,6.834959e+24,1.000000e+00,1.334670e+01
1.144501e+00,6.834959e+24,1.082637e+00,1.335057e+01
1.144501e+00,6.834959e+24,1.268961e+00,1.335925e+01
1.144501e+00,6.834959e+24,1.487352e+00,1.336938e+01
1.144501e+00,6.834959e+24,1.743329e+00,1.338116e+01
1.144501e+00,6.834959e+24,2.043360e+00,1.339486e+01
1.144501e+00,6.834959e+24,2.395027e+00,1.341077e+01
1.144501e+00,6.834959e+24,2.807216e+00,1.342921e+01
1.144501e+00,6.834959e+24,3.290345e+00,1.345053e+01
1.144501e+00,6.834959e+24,3.856620e+00,1.347512e+01
1.144501e+00,6.834959e+24,4.520354e+00,1.350340e+01
1.144501e+00,6.834959e+24,5.298317e+00,1.353579e+01
1.144501e+00,6.834959e+24,6.210169e+00,1.358884e+01
1.144501e+00,6.834959e+24,7.278954e+00,1.363697e+01
1.144501e+00,6.834959e+24,8.531679e+00,1.369285e+01
1.144501e+00,6.834959e+24,1.000000e+01,1.375764e+01
1.233989e+00,7.369381e+24,1.000000e-01,1.365805e+01
1.233989e+00,7.369381e+24,1.172102e-01,1.365882e+01
1.233989e+00,7.369381e+24,1.373824e-01,1.365971e+01
1.233989e+00,7.369381e+24,1.610262e-01,1.366077e+01
1.233989e+00,7.369381e+24,1.887392e-01,1.366200e+01
1.233989e+00,7.369381e+24,2.212216e-01,1.366344e+01
1.233989e+00,7.369381e+24,2.592944e-01,1.366512e+01
1.233989e+00,7.369381e+24,3.039195e-01,1.366710e+01
1.233989e+00,7.369381e+24,3.562248e-01,1.366941e+01
1.233989e+00,7.369381e+24,4.175319e-01,1.367211e+01
1.233989e+00,7.369381e+24,4.893901e-01,1.367528e+01
1.233989e+00,7.369381e+24,5.736153e-01,1.367898e+01
1.233989e+00,7.369381e+24,6.723358e-01,1.368330e+01
1.233989e+00,7.369381e+24,7.880463e-01,1.368836e+01
1.233989e+00,7.369381e+24,9.236709e-01,1.369426e+01
1.233989e+00,7.369381e+24,1.000000e+00,1.369757e+01
1.233989e+00,7.369381e+24,1.082637e+00,1.370115e+01
1.233989e+00,7.369381e+24,1.268961e+00,1.370918e+01
1.233989e+00,7.369381e+24,1.487352e+00,1.371853e+01
1.233989e+00,7.369381e+24,1.743329e+00,1.372942e+01
1.233989e+00,7.369381e+24,2.043360e+00,1.374207e+01
1.233989e+00,7.369381e+24,2.395027e+00,1.375676e+01
1.233989e+00,7.369381e+24,2.807216e+00,1.377376e+01
1.233989e+00,7.369381e+24,3.290345e+00,1.379342e+01
1.233989e+00,7.369381e+24,3.856620e+00,1.381607e+01
1.233989e+00,7.369381e+24,4.520354e+00,1.384208e+01
1.233989e+00,7.369381e+24,5.298317e+00,1.388367e+01
1.233989e+00,7.369381e+24,6.210169e+00,1.392212e+01
1.233989e+00,7.369381e+24,7.278954e+00,1.396681e+01
1.233989e+00,7.369381e+24,8.531679e+00,1.401870e+01
