M_planet (M_Earth),M_planet (kg),Pressure (bar),Feasible,Launch Mass (kg),Num Stages,Mission Reliability
9.845231e-01,5.879572e+24,1.487352e+00,1,4.303246e+04,2,0.940900
9.845231e-01,5.879572e+24,1.743329e+00,1,4.326377e+04,2,0.940900
9.845231e-01,5.879572e+24,2.043360e+00,1,4.353481e+04,2,0.940900
9.845231e-01,5.879572e+24,2.395027e+00,1,4.385234e+04,2,0.940900
9.845231e-01,5.879572e+24,2.807216e+00,1,4.422424e+04,2,0.940900
9.845231e-01,5.879572e+24,3.290345e+00,1,4.465965e+04,2,0.940900
9.845231e-01,5.879572e+24,3.856620e+00,1,4.516912e+04,2,0.940900
9.845231e-01,5.879572e+24,4.520354e+00,1,4.576479e+04,2,0.940900
9.845231e-01,5.879572e+24,5.298317e+00,1,4.646044e+04,2,0.940900
9.845231e-01,5.879572e+24,6.210169e+00,1,4.727153e+04,2,0.940900
9.845231e-01,5.879572e+24,7.278954e+00,1,4.863123e+04,2,0.940900
9.845231e-01,5.879572e+24,8.531679e+00,1,4.990672e+04,2,0.940900
9.845231e-01,5.879572e+24,1.000000e+01,1,5.143538e+04,2,0.940900
1.061503e+00,6.339293e+24,1.000000e-01,1,4.769809e+04,2,0.940900
1.061503e+00,6.339293e+24,1.172102e-01,1,4.771509e+04,2,0.940900
1.061503e+00,6.339293e+24,1.373824e-01,1,4.773503e+04,2,0.940900
1.061503e+00,6.339293e+24,1.610262e-01,1,4.775839e+04,2,0.940900
1.061503e+00,6.339293e+24,1.887392e-01,1,4.778577e+04,2,0.940900
1.061503e+00,6.339293e+24,2.212216e-01,1,4.781787e+04,2,0.940900
1.061503e+00,6.339293e+24,2.592944e-01,1,4.785549e+04,2,0.940900
1.061503e+00,6.339293e+24,3.039195e-01,1,4.789957e+04,2,0.940900
1.061503e+00,6.339293e+24,3.562248e-01,1,4.795125e+04,2,0.940900
1.061503e+00,6.339293e+24,4.175319e-01,1,4.801181e+04,2,0.940900
1.061503e+00,6.339293e+24,4.893901e-01,1,4.808279e+04,2,0.940900
1.061503e+00,6.339293e+24,5.736153e-01,1,4.816597e+04,2,0.940900
1.061503e+00,6.339293e+24,6.723358e-01,1,4.826346e+04,2,0.940900
1.061503e+00,6.339293e+24,7.880463e-01,1,4.837770e+04,2,0.940900
1.061503e+00,6.339293e+24,9.236709e-01,1,4.851157e+04,2,0.940900
1.061503e+00,6.339293e+24,1.000000e+00,1,4.858689e+04,2,0.940900
1.061503e+00,6.339293e+24,1.082637e+00,1,4.866843e+04,2,0.940900
1.061503e+00,6.339293e+24,1.268961e+00,1,4.885221e+04,2,0.940900
1.061503e+00,6.339293e+24,1.487352e+00,1,4.906750e+04,2,0.940900
1.061503e+00,6.339293e+24,1.743329e+00,1,4.931967e+04,2,0.940900
1.061503e+00,6.339293e+24,2.043360e+00,1,4.961498e+04,2,0.940900
1.061503e+00,6.339293e+24,2.395027e+00,1,4.996068e+04,2,0.940900
1.061503e+00,6.339293e+24,2.807216e+00,1,5.036524e+04,2,0.940900
1.061503e+00,6.339293e+24,3.290345e+00,1,5.083839e+04,2,0.940900
